Region,Country,IncomeGroup,IDA Status,Financial closure year,Financial closure Month,Project name,RelatedNames,Type of PPI,Subtype of PPI,Project status,dateStatusUpdated,Primary sector,Subsector,Segment,Location,ContractPeriod,GovtGrantingContract,DirectGovtSupport,DirectGovtSupportValue,InDirectGovtSupport,InDirectGovtSupportValue,Total Equity,InvestmentYear,PercentPrivate,FeesToGovernment,PhysicalAssets,TotalInvestment,CapacityType,Capacity,Technology,RelatedProjects,BidCriteria,AwardMethod,NumberOfBids,Sponsors,Main Revenue Source,Other Revenue Source,MultiLateralSupport,BiLateralSupport,TotalDebtFunding,DebtEquityGrantRatio,ProjectBanks,UnsolicitedProposal,PublicDisclosure
East Asia and Pacific,China,Upper middle income,Non-IDA,1997,February,Tianjin Lingzhuang Water Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Lingzhuang district ,Tianjin province",20,Local/Municipal,Not Available,,Not Available,,,1997,55,0,30,30,Cubic meters per day (in thousands),500.256,N/A,,,Not Available,,Veolia Environnement (55% / France),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1997,January,Xian South Water Works,,Greenfield project,"Build, operate, and transfer",Cancelled,,Water and sewerage,Treatment plant,Potable water treatment plant,Xian,20,Local/Municipal,Not Available,,Payment Guarantee,Not Available,,1997,35,0,30,30,Cubic meters per day (in thousands),500.256,N/A,,,Not Available,,Berlinwasser International AG (35% / Germany),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1997,August,Xiejiang Water Plant,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Jiangmen City, Guangdong Province",18,Local/Municipal,Not Available,,Not Available,,,1997,48,0,26.5,26.5,Cubic meters per day (in thousands),222.912,N/A,,,Not Available,,"Cheung Kong Infrastructure Holdings Ltd (49% / Hong Kong, China)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1998,January,Binzhou Cathay Water Plant ,,Brownfield,"Rehabilitate, operate, and transfer",Cancelled,06/01/2002,Water and sewerage,Treatment plant,Potable water treatment plant,"Binzhou Municipality, Shandong Province",20,Local/Municipal,Not Available,,Revenue Guarantee,Not Available,,1998,80,0,6.6,6.6,Cubic meters per day (in thousands),50.112,N/A,,,Not Available,,"Cathay International Holdings (80% / Hong Kong, China)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1998,January,Binzhou Dongiao Water,,Brownfield,"Rehabilitate, operate, and transfer",Cancelled,06/01/2002,Water and sewerage,Treatment plant,Potable water treatment plant,"Binzhou city, Shandong Province",20,Local/Municipal,Not Available,,Revenue Guarantee,Not Available,,1998,60,0,9.9,9.9,Cubic meters per day (in thousands),39.744,N/A,,,Not Available,,"Cathay International Holdings (60% / Hong Kong, China)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1998,September,Changli Water Supply,Li county water plant,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Water Utility,Water utility without sewerage,"Changli county, Hebei Province",20,Local/Municipal,Not Available,,Not Available,,,1998,80,0,11,11,Population (in thousands),100,N/A,,,Not Available,,Tyco International (80% / United States),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1998,October,Guiyang Water,,Brownfield,"Rehabilitate, operate, and transfer",Cancelled,06/01/2001,Water and sewerage,Treatment plant,Potable water treatment plant,"Guiyang city, Guizhou province ",Not Available,Local/Municipal,Not Available,,Not Available,,,1998,50,0,25,25,Cubic meters per day (in thousands),249.696,N/A,,,Not Available,,Others (50% / ..),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1998,January,Jinan Water,,Greenfield project,"Build, operate, and transfer",Cancelled,06/01/2002,Water and sewerage,Treatment plant,Potable water treatment plant,"Jinan city, Shandong Province",26,Local/Municipal,Not Available,,Revenue Guarantee,Not Available,,1998,80,0,90,90,Cubic meters per day (in thousands),900.288,N/A,,,Not Available,,"Cathay International Holdings (80% / Hong Kong, China)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1998,January,Jinan Water (Dayang Plant) ,,Greenfield project,"Build, operate, and transfer",Cancelled,06/01/2002,Water and sewerage,Treatment plant,Potable water treatment plant,"Jinan city, Shandong Province",26,Local/Municipal,Not Available,,Revenue Guarantee,Not Available,,1998,60,0,30,30,Cubic meters per day (in thousands),400.032,N/A,,,Not Available,,"Cathay International Holdings (60% / Hong Kong, China)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1998,May,Yueyang Kai Yuan Water Supply Company Limited,,Brownfield,"Rehabilitate, operate, and transfer",Cancelled,08/01/2003,Water and sewerage,Treatment plant,Potable water treatment plant,"Yueyang City, Hunan Province",18,Local/Municipal,Not Available,,Not Available,,,1998,49,0,18,18,Cubic meters per day (in thousands),371.52,N/A,,,Not Available,,"Cheung Kong Infrastructure Holdings Ltd (49% / Hong Kong, China)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1998,January,Zaijia Water Supply Project,,Greenfield project,"Build, own, and operate",Active,,Water and sewerage,Treatment plant,Potable water and sewerage treatment plant,"Shenyang city, Liaoning province",Not Available,Local/Municipal,Not Available,,Not Available,,,1998,Not Available,0,25,25,Cubic meters per day (in thousands),92.448,N/A,,,Not Available,,"RWE (.. / Germany), Sime Darby Bhd. (.. / Malaysia)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1998,January,Zhongshan Dafeng Water Plant,Zongshang Municipal Dafeng Water Supply Company Ltd.,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Zhongshan, Guangdong Province.",22,Local/Municipal,Not Available,,Not Available,,,1998,66,0,29.9,29.9,Cubic meters per day (in thousands),199.584,N/A,,,Not Available,,"NWS Holdings Limited (33% / Hong Kong, China), SUEZ (33% / France)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1998,January,Zhongshan Quanlu Water Plant,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Zhongshan, Guangdong Province",22,Local/Municipal,Not Available,,Not Available,,,1998,66,0,26.6,26.6,Cubic meters per day (in thousands),1296,N/A,,,Not Available,,"NWS Holdings Limited (33% / Hong Kong, China), SUEZ (33% / France)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1999,March,Changtu Water Plant,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Changtu County, Tieling, Liaoning Province",30,Local/Municipal,Not Available,,Not Available,,,1999,70,0,11.6,11.6,Cubic meters per day (in thousands),100.224,N/A,,,Not Available,,"NWS Holdings Limited (35% / Hong Kong, China), SUEZ (35% / France)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1999,August,Chengdu No. 6 Water Plant B,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Chengdu, capital of the Sichuan province",18,Local/Municipal,Not Available,,Payment Guarantee,Not Available,,1999,100,0,107.6,107.6,Cubic meters per day (in thousands),460,N/A,,Lowest tariff,Competitive bidding,5,"Veolia Environnement (60% / France), Marubeni Corp. (40% / Japan)",Not Applicable,N/A,"ADB (Loan / $27 Million / 1999), EIB (Loan / $27 Million / 1999), EIB (Guarantee / $30 Million / 1999), ADB (Syndication / $22 Million / 1999)",No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,1999,December,Shenyang Public Utility ,,Divestiture,Partial,Cancelled,06/01/2002,Water and sewerage,Water Utility,Water utility without sewerage,"Shenyang city, Liaoning province",Not Available,Local/Municipal,Not Available,,Not Available,,,1999,40,84,0,84,Population (in thousands),4800,N/A,Shenyang Public Utility,,Not Available,,Others (30% / ..),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,June,Baoding Water Plant,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,Hubei Province,20,Local/Municipal,Not Available,,Not Available,,,2000,90,0,24.2,24.2,Cubic meters per day (in thousands),259.2,N/A,,,Not Available,,"NWS Holdings Limited (45% / Hong Kong, China), SUEZ (45% / France)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,January,Changchun Wastewater Project,,Greenfield project,"Build, own, and operate",Cancelled,02/01/2004,Water and sewerage,Treatment plant,Sewerage treatment plant,"Changchun city, Jilin Province",21,Local/Municipal,Not Available,,Revenue Guarantee,Not Available,,2000,50,0,32,32,Cubic meters per day (in thousands),468.288,N/A,,,Not Available,,"RWE (25% / Germany), Sime Darby Bhd. (17% / Malaysia)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,December,Hexian Water Treatment Plant,He Xian ,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Hexian city,  Anhui Province",20,Local/Municipal,Not Available,,Not Available,,,2000,100,0,7.3,7.3,Number of installed connections ( in thousands),630,N/A,,,Not Available,,Anglian Water (50% / United Kingdom),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,January,Liu River Water Supply Project,,Greenfield project,"Build, own, and operate",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Xinmin city, Liaoning Province",Not Available,Local/Municipal,Not Available,,Not Available,,,2000,92,0,0,Not Available,Cubic meters per day (in thousands),37.152,N/A,,,Not Available,,"RWE (45% / Germany), Sime Darby Bhd. (30% / Malaysia)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,September,Siping Water Plant,,Brownfield,"Build, rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,Jilin Province,30,Local/Municipal,Not Available,,Not Available,,,2000,50,0,8.9,8.9,Cubic meters per day (in thousands),118.368,N/A,,,Not Available,,"NWS Holdings Limited (25% / Hong Kong, China), SUEZ (25% / France)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,October,Yanjiao Water Project,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water and sewerage treatment plant,"Yanjiao city, Hebei Province",Not Available,Local/Municipal,Not Available,,Not Available,,,2000,Not Available,0,0,Not Available,Cubic meters per day (in thousands),37.152,N/A,,,Not Available,,"RWE (.. / Germany), Sime Darby Bhd. (.. / Malaysia)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2001,July,Chongqing City Water Supply,,Management and lease contract,Management contract,Active,02/01/2007,Water and sewerage,Water Utility,Water utility without sewerage,"Yongchuan City, Chongqing Muncipality",50,Local/Municipal,Not Available,,Not Available,,,2001,100,13.2,0,13.2,Population (in thousands),300,N/A,,,Not Available,,"China Water Affairs Group Ltd (100% / Hong Kong, China)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2001,January,Qitaihe Water Project,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Qitaihe City, Heilongjiang Province ",25,Local/Municipal,Not Available,,Not Available,,,2001,90.9,0,12,12,Cubic meters per day (in thousands),111,N/A,,,Not Available,,"RWE (45% / Germany), Sime Darby Bhd. (31% / Malaysia)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2001,January,Shanghai Fengxian Saur Water,SFSW,Brownfield,"Rehabilitate, operate, and transfer",Cancelled,08/01/2006,Water and sewerage,Treatment plant,Potable water treatment plant,Fengxian District of Shanghai,11,Local/Municipal,Not Available,,Not Available,,,2001,50,10.3,0,10.3,Cubic meters per day (in thousands),100,N/A,,,Not Available,,Saur (50% / France),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2001,November,Shenzhen Wastewater Treatment Plants,,Management and lease contract,Management contract,Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Shenzhen city, Guangdong province",15,Local/Municipal,Not Available,,Not Available,,,2001,100,0,0,Not Available,Cubic meters per day (in thousands),65,N/A,,Not Available,Competitive bidding,4,Anhui Guozhen Environmental Protection Science & Technology Co. Ltd. (100% / China),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2001,December,Xi Lang Wastewater,Pearl River Wastewater plant,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Guangzhou City, Guangdong",20,Local/Municipal,Not Available,,Not Available,,,2001,67,0,120,120,Cubic meters per day (in thousands),400,N/A,,,Not Available,,Tyco International (67% / United States),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2001,January,Xiao Shun Jiang Water Project,,Greenfield project,"Build, own, and operate",Cancelled,,Water and sewerage,Treatment plant,Potable water treatment plant,"Shaoxing city, Zhejiang Province",20,Local/Municipal,Not Available,,Not Available,,,2001,40,0,26,26,Cubic meters per day (in thousands),400,N/A,,,Not Available,,"RWE (20% / Germany), Sime Darby Bhd. (14% / Malaysia)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2001,December,Xinhui East Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Jiangmen city, Guangdong province",20,Local/Municipal,Not Available,,Not Available,,,2001,Not Available,0,4.4,4.4,Not Available,Not Available,N/A,,,Not Available,,Anhui Guozhen Environmental Protection Science & Technology Co. Ltd. (.. / China),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2001,October,Xinle Wastewater Treatment Plant ,Xin Le ,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Xinle City, Hebei Province ",22,Local/Municipal,Not Available,,Not Available,,,2001,45,0,4.1,4.1,Cubic meters per day (in thousands),40,N/A,,,Not Available,,China Water Group Inc. (45% / China),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2001,August,Zhengzhou Water Supply Project,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Huiji District, Zhengzhou City, Henan Province",30,Local/Municipal,Not Available,,Not Available,,,2001,50,0,37.8,37.8,Cubic meters per day (in thousands),360,N/A,,,Not Available,,"NWS Holdings Limited (25% / Hong Kong, China), SUEZ (20% / France)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2001,June,Zhu Zhuan Qiao Wastewater,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Hefei city, Anhui province",23,Local/Municipal,Not Available,,Not Available,,,2001,100,0,14.46,14.46,Cubic meters per day (in thousands),55,N/A,,,Direct negotiation,,Anhui Guozhen Environmental Protection Science & Technology Co. Ltd. (100% / China),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2002,December,Baoji Water,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Baoji city, Shaanxi province",23,Local/Municipal,Not Available,,Not Available,,,2002,50,0,42.45,42.45,Cubic meters per day (in thousands),232,N/A,,,Not Available,,Veolia Environnement (50% / France),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2002,November,Chongqing Municipal Water,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Water Utility,Water utility without sewerage,Chongqing Province,50,State/Provincial,Not Available,,Not Available,,,2002,60,0,149,149,Population (in thousands),400,N/A,,,Direct negotiation,,"NWS Holdings Limited (30% / Hong Kong, China), SUEZ (30% / France)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2002,July,Foshan Wastewater Plant,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Foshan city, Guangdong province",20,Local/Municipal,Not Available,,Not Available,,,2002,45,0,30.4,30.4,Cubic meters per day (in thousands),100.224,N/A,,,Not Available,,Amiantit Group (45% / Saudi Arabia),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2002,November,Hebei Handan Ci County Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Ci County, Handan City, Hebei Province ",25,Local/Municipal,Not Available,,Not Available,,,2002,100,0,13.65,13.65,Cubic meters per day (in thousands),50,N/A,,,Not Available,,"Hana Corp. (100% / Korea, Rep.)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2002,April,Hubei Jinmen Xiajiawan Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,07/01/2003,Water and sewerage,Treatment plant,Sewerage treatment plant,"Jinmen City, Hubei Province",25,Local/Municipal,Not Available,,Not Available,,,2002,95,0,6.04,6.04,Cubic meters per day (in thousands),50,N/A,,,Not Available,,Beijing Sound Environment Industry Group (95% / China),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2002,October,Jiangsu Taicang City East Wastewater Treatment Plant,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,"Taicang City, Jiangsu Province",25,Local/Municipal,Not Available,,Not Available,,,2002,54,0,7.3,7.3,Cubic meters per day (in thousands),20,N/A,,,Not Available,,Golden State Environment (54% / United States),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2002,May,Jie Yuan Water Treatment Plant,,Brownfield,"Build, rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Hongqiao District, Tianjin City",20,Local/Municipal,Not Available,,Not Available,,,2002,Not Available,20,0,20,Cubic meters per day (in thousands),500,N/A,,Not Applicable,Not Available,,Tyco International (52% / United States),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2002,October,Jinan Yellow River Water Plant,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Jinan City, Shandong Province",25,Local/Municipal,Not Available,,Not Available,,,2002,51,17.03,17.75,34.78,Cubic meters per day (in thousands),400,N/A,,,Not Available,,Hainan Runda Industrial Co. Ltd. (51% / China),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2002,November,Leshan Shawan Water Plant,,Divestiture,Full,Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Leshan City, Sichuan Province",Not Available,Local/Municipal,Not Available,,Not Available,,,2002,100,1.44,0,1.44,Cubic meters per day (in thousands),10,N/A,,Highest price paid to government,Competitive bidding,Not Available,Zhongyang Construction (100% / China),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2002,June,Lijiatuo and Qiezixi Wastewater ,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Sewerage treatment plant,Chongqing Municipality,30,Local/Municipal,Not Available,,Not Available,,,2002,Not Available,0,17.5,17.5,Cubic meters per day (in thousands),100,N/A,,,Not Available,,Berlinwasser International AG (.. / Germany),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2002,April,Panjin Water,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Panjin city, Liaoning Province",30,Local/Municipal,Not Available,,Not Available,,,2002,60,0,7.25,7.25,Cubic meters per day (in thousands),110,N/A,,,Not Available,,"NWS Holdings Limited (30% / Hong Kong, China), SUEZ (30% / France)",Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2002,July,Qingdao Desalination Plant,,Greenfield project,"Build, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Qingdao city, Shandong province",20,Local/Municipal,Not Available,,Not Available,,,2002,100,0,5,5,Cubic meters per day (in thousands),3,N/A,,,Not Available,,Qingdao Huaou Group (100% / China),Not Applicable,N/A,No,No,,,N/A,Yes,No
East Asia and Pacific,China,Upper middle income,Non-IDA,2002,May,Qingdao Water,,Brownfield,"Rehabilitate, operate, and transfer",Active,,Water and sewerage,Treatment plant,Potable water treatment plant,"Qingdao, Shandong Province",25,Local/Municipal,Not Available,,Not Available,,,2002,50,0,15.1,15.1,Cubic meters per day (in thousands),540,N/A,Qingdao Water,,Direct negotiation,,"NWS Holdings Limited (25% / Hong Kong, China), SUEZ (25% / France)",Not Applicable,N/A,No,No,,,N/A,Yes,No
